trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,1,-3.5244387301851314,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,7,-68.00419667888475,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",30,1,-90.78118209842819,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,4,7.489499317775503,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-55.87571312609267,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,11,0.8591258021879116,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,12,-21.049802318941953,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,12,4.725509455820848,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-54.59583471756626,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-82.2791808756542,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,23,4.134287480567445,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-70.31111695488194,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,10,-2.0500045975333694,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-35.99886355748597,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,20,16.22410895838727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,3,-147.74731961878942,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 3}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,17,-2.845564287105776,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,12,-9.055684090432491,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,0,-98.16050134156643,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,6,2.0507348814165893,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,9.021505803744049,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-82.20630150897736,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,0,-22.684505135603832,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,13,1.7307152112576187,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",30,9,13.895386069202562,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,5,-36.03129261979675,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,16,-14.70773945154211,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,1,-100.11339702695805,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,-66.12225418193918,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,3,-31.580633971926293,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",35,9,-9.119832900751257,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,14,9.589847503228587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
